Lazy,Over,six,Cochabamba,El_Alto,La_Paz,Oruro,Santa_Cruz,Shocks,Manufacture,Commerce,Services,Individual,Consumption,Groups,Village,Others,Loan_Term,Lenders,Years_with_new_loans,First_timer,Cohort_1997,Cohort_1998,Cohort_1999,Cohort_2000,Default_First,Number_Potential_Workers,Age_Main_Income_Source,Education_Average,Diversification,Savings,Migrants,Female_Main_Person,Commercial,Assets,cruzados,Shocks_97,Shocks_98,Shocks_99,Shocks_00,Shocks_01,cuest
0.0,1.0,B,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.0,2,2,0,0,1,0,0,0,4,41.0,9.5,1.0,0,0.0,0,0,0.16886932,0,0,0,0,0,1,68
0.0,1.0,C,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,2,3,0,0,1,0,0,0,6,41.0,9.333333,1.25,0,0.0,1,1,0.3010279,0,0,0,0,0,1,69
,0.0,A,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1.0,1,1,1,0,0,1,0,0,2,28.0,7.5,1.5,0,0.0,0,0,0.12607929,0,0,0,1,1,0,70
0.0,1.0,B,0,0,1,0,0,1,0,0,0,0,0,0,0,1,12.0,2,1,1,1,0,0,0,0,4,39.0,9.25,1.0,1,0.0,1,0,1.6468428,0,1,1,1,1,1,7
0.0,1.0,B,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.25,2,1,1,1,0,0,0,0,2,33.0,13.0,1.0,1,1.0,1,0,0.623348,0,1,0,0,0,0,71
1.0,1.0,D,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,1,1,1,0,0,1,0,0,3,51.0,9.0,1.0,1,0.0,0,0,6.1213803,0,0,0,0,1,0,72
1.0,1.0,D,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.33333334,2,3,0,1,0,0,0,0,2,42.0,9.0,2.0,1,0.0,0,0,3.1043172,0,0,0,0,1,0,73
1.0,1.0,D,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.41666666,2,3,0,0,1,0,0,0,2,42.0,9.0,2.0,1,0.0,0,0,3.1043172,0,0,0,0,1,0,73
0.0,1.0,C,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2.0,1,1,0,1,0,0,0,0,3,39.0,10.0,1.0,1,0.0,1,0,0.36005875,0,0,0,1,0,0,74
1.0,1.0,D,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2.0,2,2,0,0,0,0,1,1,2,49.0,9.0,2.0,1,1.0,1,0,4.00558,0,0,0,0,0,1,77
0.0,1.0,C,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2.0,2,1,1,0,0,0,0,0,2,49.0,9.0,2.0,1,1.0,1,0,4.00558,0,0,0,0,0,1,77
,,F,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.25,1,1,1,0,0,0,0,0,2,29.0,15.0,1.0,1,0.0,0,0,1.1933187,0,0,0,0,0,1,78
,0.0,A,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.5,1,3,0,1,0,0,0,0,4,50.0,14.5,1.5,1,0.0,0,0,0.0,0,0,0,0,0,0,79
0.0,1.0,C,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.0,4,5,0,1,0,0,0,1,3,43.0,12.0,2.0,1,0.0,1,0,2.3908958,0,0,0,0,0,1,80
,0.0,A,0,0,1,0,0,1,1,0,0,1,0,0,0,0,3.0,4,4,0,0,1,0,0,1,3,43.0,12.0,2.0,1,0.0,1,0,2.3908958,0,0,0,0,0,1,80
0.0,1.0,B,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1.5,4,2,0,0,0,0,1,0,3,43.0,12.0,2.0,1,0.0,1,0,2.3908958,0,0,0,0,0,1,80
0.0,1.0,C,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.5,1,3,0,0,0,1,0,0,2,25.0,12.0,2.0,1,0.0,0,0,0.1174743,0,0,0,0,1,1,81
